2011,2012,2013,2014
"['aeroporikos', 'sidirodromikos', 'thallasios', 'odikos']","['aeroporikos', 'sidirodromikos', 'thallasios', 'odikos']","['aeroporikos', 'sidirodromikos', 'thallasios', 'odikos']","['aeroporikos', 'sidirodromikos', 'thallasios', 'odikos']"
"[11671154, 3765, 947847, 3804479]","[10992903, 0, 790469, 3734249]","[12302448, 0, 806960, 4810172]","[14057215, 6894, 701345, 7268006]"
